Feature,PSI,Wasserstein
revol_util,0.29957663529823736,0.5481991165438093
fico_range_low,0.1773611358981914,0.4775369903709943
fico_range_high,0.1773611358981914,0.47753162400690236
revol_bal,0.08728328785548638,0.09792762189884469
int_rate,0.07793958282565736,0.1741464589612187
loan_amnt,0.0510801397096319,0.13927343811935855
dti,0.044857565946096994,0.25090945934051523
installment,0.0426383541921982,0.11630736780263455
grade,0.033639220406653056,0.11858766165819698
total_acc,0.025949735984458672,0.1200976967466055
open_acc,0.024015698585206188,0.08816059709195492
delinq_2yrs,0.022537904626321097,0.1108140056238045
pub_rec,0.011226369055056813,0.13257240585647403
mort_acc,0.007453697278602943,0.07459732525961273
annual_inc,0.0070131394692401795,0.05868779917488758
pub_rec_bankruptcies,0.0006422980533801398,0.04881294600013448
term,0.0,0.06420868210076891
home_ownership_MORTGAGE,0.0,0.015712293150739687
home_ownership_OWN,0.0,0.02307941135330238
home_ownership_RENT,0.0,0.03912608824591246
verification_status_Source Verified,0.0,0.025528208004572006
verification_status_Verified,0.0,0.06496034078607849
purpose_credit_card,0.0,0.025615707214973638
purpose_debt_consolidation,0.0,0.08012220748805193
purpose_educational,0.0,1.1213854942404566e-06
purpose_home_improvement,0.0,0.017549161975534244
purpose_house,0.0,0.013795950514588817
purpose_major_purchase,0.0,0.012461596157805066
purpose_medical,0.0,0.007541457308111954
purpose_moving,0.0,0.002425524447589922
purpose_other,0.0,0.04342268718076614
purpose_renewable_energy,0.0,6.694893216419029e-05
purpose_small_business,0.0,0.0006029638310763863
purpose_vacation,0.0,0.003273880709147914
purpose_wedding,0.0,2.0934613313428052e-05
application_type_Joint App,0.0,0.11947942276625811
initial_list_status_w,0.0,0.1895804428766682
